"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"500_1_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_2_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_3_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_4_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_5_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_6_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_7_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_8_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_9_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_10_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_11_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_12_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_13_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_14_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_15_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_16_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_17_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_18_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_19_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_20_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_21_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_22_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_23_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_24_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_25_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_26_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_27_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_28_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_29_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_30_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_31_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_32_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_33_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_34_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_35_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_36_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_37_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_38_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_39_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_40_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_41_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_42_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_43_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_44_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_45_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_46_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_47_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_48_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_49_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_50_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_51_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_52_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_53_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_54_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_55_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_56_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_57_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_58_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_59_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_60_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_61_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_62_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_63_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_64_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_65_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_66_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_67_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_68_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_69_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_70_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_71_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_72_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_73_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_74_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_75_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_76_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_77_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_78_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_79_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
"500_80_60_linear_heterogeneous",1,4,"control",60,500,"linear","heterogeneous"
